group,method,other_type,acc,timepoint
immediate,C,T,NA,0
immediate,C,NA,NA,0
immediate,S,NA,NA,0
immediate,T,C,0.548888889,0
immediate,T,NA,0.573333333,0
delay,C,T,NA,0
delay,C,NA,NA,0
delay,S,NA,NA,0
delay,T,C,0.525252525,0
delay,T,NA,0.523232323,0
immediate,T,T,0.557777778,1
immediate,T,NA,0.444444444,1
immediate,T,NA,0.808888889,1
immediate,NA,C,NA,1
immediate,T,NA,0.562222222,1
delay,T,T,0.327272727,2
delay,T,NA,0.286868687,2
delay,T,NA,0.533333333,2
delay,NA,C,NA,2
delay,T,NA,0.468686869,2
